#,"Country,other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
143,Botswana,"3,172",,16 ,,710,,"2,446",1,"1,342",7,"184,076","77,870","2,363,874 "
144,Iceland,"2,980",,10 ,,"2,300",,670,3,"8,718",29,"289,017","845,504","341,828 "
145,South Sudan,"2,726",,50 ,,"1,290",,"1,386",,243,4,"12,044","1,073","11,228,079 "
146,Guinea-Bissau,"2,385",,40 ,,"1,728",,617,5,"1,205",20,,,"1,979,923 "
147,Andorra,"2,370",,53 ,,"1,615",,702,9,"30,661",686,"137,457","1,778,274","77,298 "
148,Benin,"2,357",,41 ,,"1,973",,343,,193,3,"203,831","16,702","12,204,208 "
149,Sierra Leone,"2,269",,72 ,,"1,706",,491,,283,9,,,"8,018,812 "
150,French Polynesia,"2,228",,9 ,,"1,769",,450,7,"7,919",32,"26,355","93,678","281,337 "
151,Belize,"2,204",+8,30 ,,"1,378",,796,5,"5,517",75,"16,071","40,228","399,497 "
152,Burkina Faso,"2,184",,59 ,,"1,420",,705,,104,3,,,"21,049,165 "
153,Uruguay,"2,155",,48 ,,"1,862",,245,3,620,14,"248,736","71,539","3,476,925 "
154,Latvia,"2,126",,39 ,,"1,307",,780,4,"1,131",21,"336,577","178,979","1,880,541 "
155,Yemen,"2,041",,592 ,,"1,323",,126,,68,20,,,"29,994,833 "
156,Togo,"1,864",,48 ,,"1,403",,413,,224,6,"95,658","11,486","8,328,475 "
157,New Zealand,"1,858",+3,25 ,,"1,790",,43,1,371,5,"985,639","197,045","5,002,100 "
158,Cyprus,"1,847",,22 ,,"1,369",,456,1,"1,527",18,"394,211","325,881","1,209,677 "
159,Lesotho,"1,683",,39 ,,926,,718,,784,18,"19,428","9,050","2,146,723 "
160,Martinique,"1,543",,21 ,,98,,"1,424",16,"4,113",56,"36,331","96,834","375,187 "
161,Liberia,"1,354",,82 ,,"1,236",,36,2,266,16,"29,514","5,801","5,088,158 "
162,Chad,"1,223",,86 ,,"1,075",,62,,74,5,,,"16,545,547 "
163,Niger,"1,200",,69 ,,"1,115",,16,,49,3,"26,229","1,074","24,425,957 "
164,Vietnam,"1,097",,35 ,,"1,022",,40,,11,0.4,"1,009,145","10,343","97,568,899 "
165,Sao Tome and Principe,913,,15 ,,888,,10,,"4,146",68,"5,122","23,259","220,212 "
166,San Marino,732,,42 ,,680,,10,3,"21,561","1,237","7,755","228,424","33,950 "
167,Diamond Princess,712,,13 ,,651,,48,4,,,,, 
168,Turks and Caicos,695,,6 ,,656,,33,4,"17,887",154,"3,504","90,184","38,854 "
169,Channel Islands,686,,48 ,,600,,38,2,"3,936",275,"123,884","710,817","174,284 "
170,Sint Maarten,686,+7,22 ,,592,+20,72,6,"15,952",512,"4,642","107,946","43,003 "
